Latitude,Longitude,Value
-2.5,-7.5,2.331754071
-2.5,-2.5,2.536941451
-2.5,2.5,2.743657852
-2.5,7.5,2.946241129
-2.5,12.5,2.946706067
-2.5,17.5,2.692139747
-2.5,22.5,2.779128969
-2.5,27.5,2.655219852
-2.5,32.5,2.166889514
-2.5,37.5,2.842313409
-2.5,42.5,2.195377256
-2.5,47.5,2.094726487
-2.5,52.5,2.167877103
-2.5,57.5,2.35138589
-2.5,62.5,2.477351724
-2.5,67.5,2.45902979
-2.5,72.5,2.324134152
-2.5,77.5,2.193828733
-2.5,82.5,2.131158421
-2.5,87.5,2.082957463
-2.5,92.5,1.986018258
-2.5,97.5,1.848805944
-2.5,102.5,1.854665321
-2.5,107.5,1.707100777
-2.5,112.5,1.796746233
-2.5,117.5,1.768665832
-2.5,122.5,1.811331353
-2.5,127.5,1.900363743
-2.5,132.5,1.976463735
-2.5,137.5,2.026978456
-2.5,142.5,2.051650405
-2.5,147.5,2.16540353
-2.5,152.5,2.139865409
-2.5,157.5,2.118652246
-2.5,162.5,2.025222872
-2.5,167.5,1.664627046
-2.5,172.5,1.686573016
-2.5,177.5,1.710003864
2.5,-177.5,1.752676108
2.5,-172.5,1.548741667
2.5,-167.5,1.425489619
2.5,-162.5,1.301922162
2.5,-157.5,1.211363849
2.5,-137.5,1.054294671
2.5,-132.5,0.933144171
2.5,-127.5,1.01139761
2.5,-122.5,1.208552955
2.5,-117.5,1.159922093
2.5,-112.5,0.960107049
2.5,-107.5,0.898948903
2.5,-102.5,1.014991509
2.5,-97.5,1.178974238
2.5,-92.5,1.270089159
2.5,-87.5,1.300180327
2.5,-82.5,1.506244638
2.5,-77.5,1.925346294
2.5,-72.5,2.234343145
2.5,-67.5,2.404495211
2.5,-62.5,2.714179469
2.5,-57.5,2.746961383
2.5,-52.5,2.49490811
2.5,-47.5,1.517898043
2.5,-42.5,1.671161301
2.5,-37.5,1.883237622
2.5,-32.5,2.04693259
2.5,-27.5,2.181499034
2.5,-22.5,2.328100357
2.5,-17.5,2.375338548
2.5,-12.5,2.448640897
2.5,-7.5,2.489992526
2.5,-2.5,2.637895975
2.5,2.5,2.849720678
2.5,7.5,2.978989121
2.5,12.5,2.583267225
2.5,17.5,2.771759454
2.5,22.5,2.647050075
2.5,27.5,2.678572049
2.5,32.5,2.293475751
2.5,37.5,2.631205604
2.5,42.5,2.552778705
2.5,47.5,2.259201878
2.5,52.5,2.211946688
2.5,57.5,2.375253427
2.5,62.5,2.484155001
2.5,67.5,2.470100469
2.5,72.5,2.358384515
2.5,77.5,2.20969372
2.5,82.5,2.124882047
2.5,87.5,2.05100235
2.5,92.5,1.94245871
2.5,97.5,1.891849823
2.5,102.5,1.917963211
2.5,107.5,1.639385173
2.5,112.5,1.854978225
2.5,117.5,1.87119588
2.5,122.5,1.797866793
2.5,127.5,1.921778979
2.5,132.5,1.91273855
2.5,137.5,1.988096414
2.5,142.5,2.104261886
2.5,147.5,2.145648902
2.5,152.5,2.055068285
2.5,157.5,1.981881764
2.5,162.5,2.129674006
2.5,167.5,1.855248569
2.5,172.5,1.734986884
7.5,-177.5,1.716817894
7.5,-172.5,1.63830517
7.5,-167.5,1.570470411
7.5,-162.5,1.404200605
7.5,-157.5,1.389019927
7.5,-152.5,1.23027982
7.5,-147.5,1.151844769
7.5,-142.5,1.2455956
7.5,-137.5,1.370924677
7.5,-132.5,1.134207475
7.5,-127.5,1.069041558
7.5,-122.5,1.028283094
7.5,-117.5,0.927041226
7.5,-112.5,0.980531331
7.5,-107.5,1.151882412
7.5,-102.5,1.345404347
7.5,-97.5,1.439634538
7.5,-92.5,1.521926776
7.5,-87.5,1.540412914
7.5,-82.5,1.646878612
7.5,-77.5,1.886401772
7.5,-72.5,2.048070452
7.5,-67.5,2.600583005
7.5,-62.5,2.675863079
7.5,-57.5,2.142537145
7.5,-52.5,1.574783931
7.5,-47.5,1.591942442
7.5,-42.5,1.735104328
7.5,-37.5,1.931040568
7.5,-32.5,2.12560881
7.5,-27.5,2.232257479
7.5,-22.5,2.375498321
7.5,-17.5,2.432574595
7.5,-12.5,2.547983602
7.5,-7.5,2.693033871
7.5,-2.5,2.553639695
7.5,2.5,2.691696272
7.5,7.5,2.112971955
7.5,12.5,2.035485633
7.5,17.5,2.095254366
7.5,22.5,2.377776112
7.5,27.5,2.5494541
7.5,32.5,2.565321217
7.5,37.5,2.38240736
7.5,42.5,2.46770796
7.5,47.5,2.652364247
7.5,52.5,2.168768065
7.5,57.5,2.345016546
7.5,62.5,2.367907875
7.5,67.5,2.370295824
7.5,72.5,2.313239005
7.5,77.5,2.201111981
7.5,82.5,2.17547924
7.5,87.5,2.119885671
7.5,92.5,2.039775844
7.5,97.5,1.931199527
7.5,102.5,1.819386189
7.5,107.5,1.540754806
7.5,112.5,1.568334668
7.5,117.5,1.528200818
7.5,122.5,1.547657135
7.5,127.5,1.798846744
7.5,132.5,1.829879837
7.5,137.5,1.88743836
7.5,142.5,2.009612992
7.5,147.5,1.953589744
7.5,152.5,1.864983052
7.5,157.5,1.826821546
7.5,162.5,1.914176552
7.5,167.5,1.811380488
12.5,-172.5,1.669795592
12.5,-167.5,1.641255791
12.5,-162.5,1.531771085
12.5,-157.5,1.433254055
12.5,-152.5,1.418209009
12.5,-147.5,1.444334526
12.5,-142.5,1.422952531
12.5,-137.5,1.423710979
12.5,-132.5,1.248054465
12.5,-127.5,1.232016967
12.5,-122.5,1.380463848
12.5,-117.5,1.234038876
12.5,-112.5,1.247143912
